"year","position","round","heat","athlete","country","time","notes"
2011,1,1,5,"Melaine Walker"," Jamaica (JAM)",54.86,"Q"
2011,2,1,5,"Natalya Antyukh"," Russia (RUS)",54.88,"Q"
2011,3,1,1,"Kaliese Spencer"," Jamaica (JAM)",54.93,"Q"
2011,3,1,3,"Lashinda Demus"," United States (USA)",54.93,"Q"
2011,5,1,1,"Anastasiya Rabchenyuk"," Ukraine (UKR)",55.08,"Q"
2011,6,1,1,"Queen Harrison"," United States (USA)",55.11,"Q"
2011,7,1,2,"Zuzana Hejnová"," Czech Republic (CZE)",55.12,"Q"
2011,8,1,4,"Vania Stambolova"," Bulgaria (BUL)",55.29,"Q"
2011,9,1,2,"Elena Churakova"," Russia (RUS)",55.39,"Q"
2011,10,1,2,"Élodie Ouédraogo"," Belgium (BEL)",55.4,"Q, PB"
2011,10,1,2,"Hanna Titimets"," Ukraine (UKR)",55.4,"Q"
2011,12,1,1,"Lauren Boden"," Australia (AUS)",55.78,"Q, SB"
2011,13,1,3,"Perri Shakes-Drayton"," Great Britain & N.I. (GBR)",55.9,"Q"
2011,14,1,4,"Ristananna Tracey"," Jamaica (JAM)",55.96,"Q"
2011,15,1,3,"Hanna Yaroshchuk"," Ukraine (UKR)",55.99,"Q"
2011,16,1,3,"Nickiesha Wilson"," Jamaica (JAM)",56.08,"Q"
2011,17,1,5,"Wenda Theron"," South Africa (RSA)",56.13,"Q, PB"
2011,18,1,4,"Eilidh Child"," Great Britain & N.I. (GBR)",56.18,"Q"
2011,19,1,4,"Muizat Ajoke Odumosu"," Nigeria (NGR)",56.23,"Q, SB"
2011,20,1,5,"Jasmine Chaney"," United States (USA)",56.28,"Q"
2011,21,1,1,"Vera Barbosa"," Portugal (POR)",56.31,"q"
2011,22,1,2,"Sara Petersen"," Denmark (DEN)",56.32,"q, NR"
2011,23,1,2,"Nikolina Horvat"," Croatia (CRO)",56.6,"q"
2011,24,1,5,"Satomi Kubokura"," Japan (JPN)",56.66,"q"
2011,25,1,5,"Manuela Gentili"," Italy (ITA)",56.71,""
2011,26,1,4,"Nagihan Karadere"," Turkey (TUR)",56.76,""
2011,27,1,1,"Christine Merrill"," Sri Lanka (SRI)",57.05,""
2011,28,1,3,"Jailma de Lima"," Brazil (BRA)",57.21,""
2011,29,1,3,"Birsen Engin"," Turkey (TUR)",57.22,""
2011,30,1,2,"Hanitrasoa Olga Razanamalala"," Madagascar (MAD)",57.25,"PB"
2011,31,1,4,"Stine Meland Tomb"," Norway (NOR)",57.51,""
2011,32,1,5,"Amaliya Sharoyan"," Armenia (ARM)",58.54,"NR"
2011,33,1,3,"Sharolyn Scott"," Costa Rica (CRC)",58.78,""
2011,34,1,1,"Bimbo Miel Ayedou"," Benin (BEN)",58.8,""
2011,35,1,4,"Déborah Rodríguez"," Uruguay (URU)",59.52,""
2011,36,1,5,"Son Kyeong-mi"," South Korea (KOR)",60.21,""
2011,37,1,4,"Jessica Aguilera"," Nicaragua (NCA)",62.78,""
2011,38,1,3,"Fatima Sulaiman Dahman"," Yemen (YEM)",71.49,"PB"
2011,1,2,3,"Lashinda Demus"," United States (USA)",53.82,"Q"
