year,round,place,heat,athlete,country,time,notes
2011,1,1,5,Melaine Walker, Jamaica (JAM),54.86,Q
2011,1,2,5,Natalya Antyukh, Russia (RUS),54.88,Q
2011,1,3,1,Kaliese Spencer, Jamaica (JAM),54.93,Q
2011,1,3,3,Lashinda Demus, United States (USA),54.93,Q
2011,1,5,1,Anastasiya Rabchenyuk, Ukraine (UKR),55.08,Q
2011,1,6,1,Queen Harrison, United States (USA),55.11,Q
2011,1,7,2,Zuzana Hejnová, Czech Republic (CZE),55.12,Q
2011,1,8,4,Vania Stambolova, Bulgaria (BUL),55.29,Q
2011,1,9,2,Elena Churakova, Russia (RUS),55.39,Q
2011,1,10,2,Élodie Ouédraogo, Belgium (BEL),55.40,"Q, PB"
2011,1,10,2,Hanna Titimets, Ukraine (UKR),55.40,Q
2011,1,12,1,Lauren Boden, Australia (AUS),55.78,"Q, SB"
2011,1,13,3,Perri Shakes-Drayton, Great Britain & N.I. (GBR),55.90,Q
2011,1,14,4,Ristananna Tracey, Jamaica (JAM),55.96,Q
2011,1,15,3,Hanna Yaroshchuk, Ukraine (UKR),55.99,Q
2011,1,16,3,Nickiesha Wilson, Jamaica (JAM),56.08,Q
2011,1,17,5,Wenda Theron, South Africa (RSA),56.13,"Q, PB"
2011,1,18,4,Eilidh Child, Great Britain & N.I. (GBR),56.18,Q
2011,1,19,4,Muizat Ajoke Odumosu, Nigeria (NGR),56.23,"Q, SB"
2011,1,20,5,Jasmine Chaney, United States (USA),56.28,Q
2011,1,21,1,Vera Barbosa, Portugal (POR),56.31,q
2011,1,22,2,Sara Petersen, Denmark (DEN),56.32,"q, NR"
2011,1,23,2,Nikolina Horvat, Croatia (CRO),56.60,q
2011,1,24,5,Satomi Kubokura, Japan (JPN),56.66,q
2011,1,25,5,Manuela Gentili, Italy (ITA),56.71,
2011,1,26,4,Nagihan Karadere, Turkey (TUR),56.76,
2011,1,27,1,Christine Merrill, Sri Lanka (SRI),57.05,
2011,1,28,3,Jailma de Lima, Brazil (BRA),57.21,
2011,1,29,3,Birsen Engin, Turkey (TUR),57.22,
2011,1,30,2,Hanitrasoa Olga Razanamalala, Madagascar (MAD),57.25,PB
2011,1,31,4,Stine Meland Tomb, Norway (NOR),57.51,
2011,1,32,5,Amaliya Sharoyan, Armenia (ARM),58.54,NR
2011,1,33,3,Sharolyn Scott, Costa Rica (CRC),58.78,
2011,1,34,1,Bimbo Miel Ayedou, Benin (BEN),58.80,
2011,1,35,4,Déborah Rodríguez, Uruguay (URU),59.52,
2011,1,36,5,Son Kyeong-mi, South Korea (KOR),1:00.21,
2011,1,37,4,Jessica Aguilera, Nicaragua (NCA),1:02.78,
2011,1,38,3,Fatima Sulaiman Dahman, Yemen (YEM),1:11.49,PB
2011,2,1,3,Lashinda Demus, United States (USA),53.82,Q
2011,2,2,2,Natalya Antyukh, Russia (RUS),54.51,Q
2011,2,3,1,Vania Stambolova, Bulgaria (BUL),54.72,Q
2011,2,4,3,Zuzana Hejnová, Czech Republic (CZE),54.76,Q
2011,2,5,2,Melaine Walker, Jamaica (JAM),54.97,Q
2011,2,6,1,Elena Churakova, Russia (RUS),55.02,Q
2011,2,6,1,Kaliese Spencer, Jamaica (JAM),55.02,q
2011,2,8,2,Anastasiya Rabchenyuk, Ukraine (UKR),55.06,q
2011,2,9,3,Perri Shakes-Drayton, Great Britain & N.I. (GBR),55.07,
2011,2,10,1,Hanna Yaroshchuk, Ukraine (UKR),55.09,
2011,2,11,1,Élodie Ouédraogo, Belgium (BEL),55.29,PB
2011,2,12,2,Queen Harrison, United States (USA),55.44,
2011,2,13,3,Ristananna Tracey, Jamaica (JAM),55.55,
2011,2,14,3,Hanna Titimets, Ukraine (UKR),55.82,
