"year","position","round","heat","athlete","country","time","notes"
2011,"1",1,4,"Amantle Montsho"," Botswana (BOT)",50.95,"Q"
2011,"2",1,1,"Novlene Williams-Mills"," Jamaica (JAM)",51.3,"Q"
2011,"3",1,2,"Antonina Yefremova"," Ukraine (UKR)",51.35,"Q"
2011,"4",1,5,"Sanya Richards-Ross"," United States (USA)",51.37,"Q"
2011,"5",1,3,"Rosemarie Whyte"," Jamaica (JAM)",51.38,"Q"
2011,"6",1,2,"Anastasiya Kapachinskaya"," Russia (RUS)",51.43,"Q"
2011,"7",1,1,"Allyson Felix"," United States (USA)",51.45,"Q"
2011,"8",1,3,"Antonina Krivoshapka"," Russia (RUS)",51.52,"Q"
2011,"9",1,5,"Shericka Williams"," Jamaica (JAM)",51.66,"Q"
2011,"10",1,3,"Nataliya Pyhyda"," Ukraine (UKR)",51.67,"Q"
2011,"11",1,1,"Joanne Cuddihy"," Ireland (IRL)",51.82,"Q, SB"
2011,"12",1,1,"Marta Milani"," Italy (ITA)",51.94,"Q, SB"
2011,"13",1,1,"Geisa Coutinho"," Brazil (BRA)",52.15,"q"
2011,"14",1,4,"Francena McCorory"," United States (USA)",52.18,"Q"
2011,"15",1,2,"Ndeye Fatou Soumah"," Senegal (SEN)",52.23,"Q"
2011,"15",1,3,"Fantu Magiso"," Ethiopia (ETH)",52.23,"Q"
2011,"17",1,5,"Moa Hjelmer"," Sweden (SWE)",52.26,"Q"
2011,"18",1,2,"Jessica Beard"," United States (USA)",52.4,"Q"
2011,"19",1,5,"Denisa Rosolová"," Czech Republic (CZE)",52.51,"Q"
2011,"20",1,5,"Nicola Sanders"," Great Britain & N.I. (GBR)",52.65,"q"
2011,"21",1,4,"Lee McConnell"," Great Britain & N.I. (GBR)",52.75,"Q"
2011,"22",1,4,"Maris Mägi"," Estonia (EST)",52.93,"Q"
2011,"23",1,4,"Norma González"," Colombia (COL)",53.35,"q"
2011,"24",1,3,"Racheal Nachula"," Zambia (ZAM)",53.49,"q, SB"
2011,"25",1,1,"Pınar Saka"," Turkey (TUR)",53.59,""
2011,"25",1,2,"Aliann Pompey"," Guyana (GUY)",53.59,""
2011,"27",1,4,"Aymée Martínez"," Cuba (CUB)",53.67,""
2011,"28",1,3,"Daisurami Bonne"," Cuba (CUB)",53.69,""
2011,"29",1,2,"Tjipekapora Herunga"," Namibia (NAM)",54.08,""
2011,"30",1,5,"Kseniya Karandyuk"," Ukraine (UKR)",54.1,""
2011,"31",1,4,"Ambwene Simukonda"," Malawi (MAW)",54.81,""
2011,"32",1,2,"Alaa Hikmat Al-Qaysi"," Iraq (IRQ)",55.62,""
2011,"33",1,5,"Betty Burua"," Papua New Guinea (PNG)",56.98,""
2011,"34",1,1,"Graciela Martins"," Guinea-Bissau (GBS)",58.22,"PB"
2011,"35",1,1,"Sandrine Thiébaud-Kangni"," Togo (TOG)",59.68,""
