year,position,round,heat,bib,name,country,time,notes
2011,1,3,1,740,Caster SEMENYA,RSA RSA,01:56.4,
2011,2,3,1,569,Janeth Jepkosgei BUSIENEI,KEN KEN,01:57.4,
2011,3,3,1,955,Alysia MONTAÑO,USA USA,01:57.5,
2011,4,3,1,984,Maggie VESSEY,USA USA,01:58.5,
2011,5,3,1,523,Kenia SINCLAIR,JAM JAM,01:58.7,
2011,,3,1,782,Mariya SAVINOVA,RUS RUS,01:55.9,DQ
2011,,3,1,767,Ekaterina KOSTETSKAYA,RUS RUS,01:57.8,DQ
2011,,3,1,781,Iuliia STEPANOVA,RUS RUS,01:59.7,DQ
2011,1,2,1,984,Maggie VESSEY,USA USA,1:58.98 Q,
2011,2,2,1,396,Jennifer MEADOWS,GBR GBR,01:59.1,
2011,3,2,1,589,Eunice Jepkoech SUM,KEN KEN,01:59.9,
2011,4,2,1,257,Rosibel GARCÍA,COL COL,2:00.79 SB,
2011,5,2,1,873,Annet NEGESA,UGA UGA,02:01.5,
2011,6,2,1,144,Marina ARZAMASOVA,BLR BLR,02:02.1,
2011,,2,1,781,Iuliia STEPANOVA,RUS RUS,01:58.7,DQ
2011,,2,1,643,Halima HACHLAF,MAR MAR,DNF,DNF
2011,1,2,2,569,Janeth Jepkosgei BUSIENEI,KEN KEN,1:58.50 Q SB,
2011,2,2,2,955,Alysia MONTAÑO,USA USA,1:58.67 q,
2011,3,2,2,886,Liliya LOBANOVA,UKR UKR,01:59.4,
2011,4,2,2,392,Emma JACKSON,GBR GBR,1:59.77 PB,
2011,5,2,2,472,Tintu LUKKA,IND IND,2:00.95 SB,
2011,6,2,2,827,Lucia HRIVNÁK KLOCOVÁ,SVK SVK,02:01.9,
2011,7,2,2,102,Zahra BOURAS,ALG ALG,02:12.1,
2011,,2,2,782,Mariya SAVINOVA,RUS RUS,01:58.4,DQ
2011,1,2,3,740,Caster SEMENYA,RSA RSA,1:58.07 Q SB,
2011,2,2,3,523,Kenia SINCLAIR,JAM JAM,1:58.93 q,
2011,3,2,3,351,Fantu MAGISO,ETH ETH,1:59.17 NR,
2011,4,2,3,974,Alice SCHMIDT,USA USA,02:01.2,
2011,5,2,3,580,Cherono KOECH,KEN KEN,02:01.5,
2011,6,2,3,398,Marilyn OKORO,GBR GBR,02:01.5,
2011,7,2,3,885,Yuliya KREVSUN,UKR UKR,02:05.4,
2011,,2,3,767,Ekaterina KOSTETSKAYA,RUS RUS,01:58.6,DQ
2011,1,1,1,396,Jennifer MEADOWS,GBR GBR,2:01.11 Q,
2011,2,1,1,984,Maggie VESSEY,USA USA,2:01.32 Q,
2011,3,1,1,257,Rosibel GARCÍA,COL COL,2:01.33 Q SB,
2011,4,1,1,589,Eunice Jepkoech SUM,KEN KEN,2:01.37 Q,
2011,5,1,1,632,Egle BALCIÜNAITÉ,LTU LTU,02:02.9,
2011,6,1,1,667,Yvonne HAK,NED NED,02:03.1,
2011,,1,1,781,Iuliia STEPANOVA,RUS RUS,02:01.4,DQ
2011,1,1,2,523,Kenia SINCLAIR,JAM JAM,2:01.66 Q,
2011,2,1,2,643,Halima HACHLAF,MAR MAR,2:01.80 Q,
2011,3,1,2,885,Yuliya KREVSUN,UKR UKR,2:01.88 Q,
2011,4,1,2,144,Marina ARZAMASOVA,BLR BLR,2:01.97 Q,
2011,5,1,2,351,Fantu MAGISO,ETH ETH,2:02.58 q,
2011,6,1,2,856,Merve AYDIN,TUR TUR,02:04.9,
2011,7,1,2,597,Yeon-jung HUH,KOR KOR,02:08.1,
2011,8,1,2,306,Zourah ALI,DJI DJI,2:36.36 PB,
2011,1,1,3,569,Janeth Jepkosgei BUSIENEI,KEN KEN,1:59.36 Q,
2011,2,1,3,955,Alysia MONTAÑO,USA USA,1:59.62 Q,
2011,3,1,3,398,Marilyn OKORO,GBR GBR,1:59.74 Q,
2011,4,1,3,101,Luiza GEGA,ALB ALB,02:03.2,
2011,5,1,3,564,Margarita MUKASHEVA,KAZ KAZ,02:04.2,
2011,,1,3,767,Ekaterina KOSTETSKAYA,RUS RUS,01:59.6,DQ
2011,,1,3,889,Tetiana PETLYUK,UKR UKR,DNF,DNF
2011,1,1,4,740,Caster SEMENYA,RSA RSA,2:01.01 Q,
2011,2,1,4,580,Cherono KOECH,KEN KEN,2:01.03 Q,
2011,3,1,4,974,Alice SCHMIDT,USA USA,2:01.11 Q,
2011,4,1,4,392,Emma JACKSON,GBR GBR,2:01.17 q,
2011,5,1,4,472,Tintu LUKKA,IND IND,2:01.89 q,
2011,6,1,4,999,Truong Thanh HANG,VIE VIE,02:03.5,
2011,,1,4,782,Mariya SAVINOVA,RUS RUS,02:01.0,DQ
2011,1,1,5,873,Annet NEGESA,UGA UGA,2:02.75 Q,
