"year","position","round","heat","athlete","country","time","notes"
2011,"1",1,3,"Janeth Jepkosgei"," Kenya (KEN)",119.36,"Q"
2011,"2",1,3,"Ekaterina Kostetskaya"," Russia (RUS)",119.61,"Q"
2011,"3",1,3,"Alysia Johnson Montaño"," United States (USA)",119.62,"Q"
2011,"4",1,3,"Marilyn Okoro"," Great Britain & N.I. (GBR)",119.74,"Q"
2011,"5",1,4,"Mariya Savinova"," Russia (RUS)",121.01,"Q"
2011,"5",1,4,"Caster Semenya"," South Africa (RSA)",121.01,"Q"
2011,"7",1,4,"Cherono Koech"," Kenya (KEN)",121.03,"Q"
2011,"8",1,1,"Jenny Meadows"," Great Britain & N.I. (GBR)",121.11,"Q"
2011,"8",1,4,"Alice Schmidt"," United States (USA)",121.11,"Q"
2011,"10",1,4,"Emma Jackson"," Great Britain & N.I. (GBR)",121.17,"q"
2011,"11",1,1,"Maggie Vessey"," United States (USA)",121.32,"Q"
2011,"12",1,1,"Rosibel García"," Colombia (COL)",121.33,"Q, SB"
2011,"13",1,1,"Eunice Jepkoech Sum"," Kenya (KEN)",121.37,"Q"
2011,"14",1,1,"Yuliya Rusanova"," Russia (RUS)",121.38,"q"
2011,"15",1,2,"Kenia Sinclair"," Jamaica (JAM)",121.66,"Q"
2011,"16",1,2,"Halima Hachlaf"," Morocco (MAR)",121.8,"Q"
2011,"17",1,2,"Yuliya Krevsun"," Ukraine (UKR)",121.88,"Q"
2011,"18",1,4,"Tintu Luka"," India (IND)",121.89,"q"
2011,"19",1,2,"Maryna Arzamasava"," Belarus (BLR)",121.97,"Q"
2011,"20",1,2,"Fantu Magiso"," Ethiopia (ETH)",122.58,"q"
2011,"21",1,5,"Annet Negesa"," Uganda (UGA)",122.75,"Q"
2011,"22",1,5,"Zahra Bouras"," Algeria (ALG)",122.77,"Q"
2011,"23",1,5,"Lucia Klocová"," Slovakia (SVK)",122.81,"Q"
2011,"24",1,5,"Liliya Lobanova"," Ukraine (UKR)",122.84,"Q"
2011,"25",1,5,"Nikki Hamblin"," New Zealand (NZL)",122.87,"SB"
2011,"26",1,1,"Eglė Balčiūnaitė"," Lithuania (LTU)",122.88,""
2011,"27",1,1,"Yvonne Hak"," Netherlands (NED)",123.05,""
2011,"28",1,3,"Luiza Gega"," Albania (ALB)",123.21,""
2011,"29",1,4,"Truong Thanh Hang"," Vietnam (VIE)",123.52,""
2011,"30",1,5,"Lemlem Bereket"," Canada (CAN)",123.62,""
2011,"31",1,3,"Margarita Matsko"," Kazakhstan (KAZ)",124.24,""
2011,"32",1,2,"Merve Aydın"," Turkey (TUR)",124.88,""
2011,"33",1,5,"Sviatlana Usovich"," Belarus (BLR)",125.62,""
2011,"34",1,2,"Huh Yeon-jung"," South Korea (KOR)",128.05,""
2011,"35",1,2,"Zourah Ali"," Djibouti (DJI)",156.36,"PB"
2011,"",1,3,"Tetiana Petlyuk"," Ukraine (UKR)",NA,""
2011,"1",2,3,"Caster Semenya"," South Africa (RSA)",118.07,"Q, SB"
2011,"2",2,2,"Mariya Savinova"," Russia (RUS)",118.45,"Q"
2011,"3",2,2,"Janeth Jepkosgei"," Kenya (KEN)",118.5,"Q, SB"
2011,"4",2,3,"Ekaterina Kostetskaya"," Russia (RUS)",118.64,"Q"
2011,"5",2,2,"Alysia Johnson Montaño"," United States (USA)",118.67,"q"
2011,"6",2,1,"Yuliya Rusanova"," Russia (RUS)",118.73,"Q"
