year,round,place,heat,athlete,country,time,notes
2011,1,1,3,Janeth Jepkosgei, Kenya (KEN),1:59.36,Q
2011,1,2,3,Ekaterina Kostetskaya, Russia (RUS),1:59.61,Q
2011,1,3,3,Alysia Johnson Montaño, United States (USA),1:59.62,Q
2011,1,4,3,Marilyn Okoro, Great Britain & N.I. (GBR),1:59.74,Q
2011,1,5,4,Mariya Savinova, Russia (RUS),2:01.01,Q
2011,1,5,4,Caster Semenya, South Africa (RSA),2:01.01,Q
2011,1,7,4,Cherono Koech, Kenya (KEN),2:01.03,Q
2011,1,8,1,Jenny Meadows, Great Britain & N.I. (GBR),2:01.11,Q
2011,1,8,4,Alice Schmidt, United States (USA),2:01.11,Q
2011,1,10,4,Emma Jackson, Great Britain & N.I. (GBR),2:01.17,q
2011,1,11,1,Maggie Vessey, United States (USA),2:01.32,Q
2011,1,12,1,Rosibel García, Colombia (COL),2:01.33,"Q, SB"
2011,1,13,1,Eunice Jepkoech Sum, Kenya (KEN),2:01.37,Q
2011,1,14,1,Yuliya Rusanova, Russia (RUS),2:01.38,q
2011,1,15,2,Kenia Sinclair, Jamaica (JAM),2:01.66,Q
2011,1,16,2,Halima Hachlaf, Morocco (MAR),2:01.80,Q
2011,1,17,2,Yuliya Krevsun, Ukraine (UKR),2:01.88,Q
2011,1,18,4,Tintu Luka, India (IND),2:01.89,q
2011,1,19,2,Maryna Arzamasava, Belarus (BLR),2:01.97,Q
2011,1,20,2,Fantu Magiso, Ethiopia (ETH),2:02.58,q
2011,1,21,5,Annet Negesa, Uganda (UGA),2:02.75,Q
2011,1,22,5,Zahra Bouras, Algeria (ALG),2:02.77,Q
2011,1,23,5,Lucia Klocová, Slovakia (SVK),2:02.81,Q
2011,1,24,5,Liliya Lobanova, Ukraine (UKR),2:02.84,Q
2011,1,25,5,Nikki Hamblin, New Zealand (NZL),2:02.87,SB
2011,1,26,1,Eglė Balčiūnaitė, Lithuania (LTU),2:02.88,
2011,1,27,1,Yvonne Hak, Netherlands (NED),2:03.05,
2011,1,28,3,Luiza Gega, Albania (ALB),2:03.21,
2011,1,29,4,Truong Thanh Hang, Vietnam (VIE),2:03.52,
2011,1,30,5,Lemlem Bereket, Canada (CAN),2:03.62,
2011,1,31,3,Margarita Matsko, Kazakhstan (KAZ),2:04.24,
2011,1,32,2,Merve Aydın, Turkey (TUR),2:04.88,
2011,1,33,5,Sviatlana Usovich, Belarus (BLR),2:05.62,
2011,1,34,2,Huh Yeon-jung, South Korea (KOR),2:08.05,
2011,1,35,2,Zourah Ali, Djibouti (DJI),2:36.36,PB
2011,1,,3,Tetiana Petlyuk, Ukraine (UKR),DNF,
2011,2,1,3,Caster Semenya, South Africa (RSA),1:58.07,"Q, SB"
2011,2,2,2,Mariya Savinova, Russia (RUS),1:58.45,Q
2011,2,3,2,Janeth Jepkosgei, Kenya (KEN),1:58.50,"Q, SB"
2011,2,4,3,Ekaterina Kostetskaya, Russia (RUS),1:58.64,Q
2011,2,5,2,Alysia Johnson Montaño, United States (USA),1:58.67,q
2011,2,6,1,Yuliya Rusanova, Russia (RUS),1:58.73,Q
2011,2,7,3,Kenia Sinclair, Jamaica (JAM),1:58.93,q
2011,2,8,1,Maggie Vessey, United States (USA),1:58.98,Q
2011,2,9,1,Jenny Meadows, Great Britain & N.I. (GBR),1:59.07,
2011,2,10,3,Fantu Magiso, Ethiopia (ETH),1:59.17,NR
2011,2,11,2,Liliya Lobanova, Ukraine (UKR),1:59.38,
2011,2,12,2,Emma Jackson, Great Britain & N.I. (GBR),1:59.77,PB
2011,2,13,1,Eunice Jepkoech Sum, Kenya (KEN),1:59.94,
2011,2,14,1,Rosibel García, Colombia (COL),2:00.79,SB
2011,2,15,2,Tintu Luka, India (IND),2:00.95,SB
2011,2,16,3,Alice Schmidt, United States (USA),2:01.16,
2011,2,17,3,Cherono Koech, Kenya (KEN),2:01.48,
2011,2,18,1,Annet Negesa, Uganda (UGA),2:01.51,
2011,2,19,3,Marilyn Okoro, Great Britain & N.I. (GBR),2:01.54,
2011,2,20,2,Lucia Klocová, Slovakia (SVK),2:01.85,
2011,2,21,1,Maryna Arzamasava, Belarus (BLR),2:02.13,
2011,2,22,3,Yuliya Krevsun, Ukraine (UKR),2:05.37,
2011,2,23,2,Zahra Bouras, Algeria (ALG),2:12.08,
2011,2,,1,Halima Hachlaf, Morocco (MAR),DNF,
2011,3,2,1,Caster Semenya, South Africa (RSA),1:56.35,SB
2011,3,3,2,Janeth Jepkosgei, Kenya (KEN),1:57.42,SB
2011,3,4,3,Alysia Johnson Montaño, United States (USA),1:57.48,SB
2011,3,5,4,Maggie Vessey, United States (USA),1:58.50,SB
2011,3,6,5,Kenia Sinclair, Jamaica (JAM),1:58.66,
2011,3,,6,Ekaterina Kostetskaya, Russia (RUS),1:57.82,DSQ
2011,3,,7,Yuliya Rusanova, Russia (RUS),1:59.74,DSQ
2011,3,,8,Mariya Savinova, Russia (RUS),1:55.87,DSQ
2013,1,1,1,Brenda Martinez, United States (USA),1:59.39,Q
2013,1,2,1,Marilyn Okoro, Great Britain & N.I. (GBR),1:59.43,"Q, SB"
2013,1,3,1,Mariya Savinova, Russia (RUS),1:59.44,Q
2013,1,4,2,Alysia Montaño, United States (USA),1:59.47,Q
2013,1,5,1,Winny Chebet, Kenya (KEN),1:59.58,q. SB
2013,1,6,2,Nataliia Lupu, Ukraine (UKR),1:59.59,"Q, SB"
2013,1,7,1,Maryna Arzamasava, Belarus (BLR),1:59.60,"q, SB"
2013,1,8,3,Malika Akkaoui, Morocco (MAR),1:59.63,Q
2013,1,9,3,Ekaterina Poistogova, Russia (RUS),1:59.90,Q
2013,1,10,3,Ajee' Wilson, United States (USA),2:00.00,Q
2013,1,11,2,Halima Hachlaf, Morocco (MAR),2:00.04,Q
2013,1,12,3,Rose Mary Almanza, Cuba (CUB),2:00.27,q
2013,1,13,3,Lenka Masná, Czech Republic (CZE),2:00.31,"q, SB"
2013,1,14,4,Eunice Jepkoech Sum, Kenya (KEN),2:00.49,Q
2013,1,15,4,Elena Kotulskaya, Russia (RUS),2:00.50,Q
2013,1,16,2,Angie Smit, New Zealand (NZL),2:00.60,
2013,1,17,4,Laura Muir, Great Britain & N.I. (GBR),2:00.80,"Q, PB"
2013,1,18,3,Natoya Goule, Jamaica (JAM),2:00.93,
2013,1,19,3,Olha Lyakhova, Ukraine (UKR),2:00.98,
2013,1,20,4,Fantu Magiso, Ethiopia (ETH),2:01.11,
2013,1,21,2,Jessica Judd, Great Britain & N.I. (GBR),2:01.48,
2013,1,22,4,Kelly Hetherington, Australia (AUS),2:01.57,
2013,1,23,4,Melissa Bishop, Canada (CAN),2:01.91,
2013,1,24,2,Wang Chunyu, China (CHN),2:02.05,SB
2013,1,24,2,Roseanne Galligan, Ireland (IRL),2:02.05,
2013,1,26,4,Margarita Mukasheva, Kazakhstan (KAZ),2:02.06,
2013,1,27,1,Marta Milani, Italy (ITA),2:02.41,
2013,1,28,1,Karine Belleau-Béliveau, Canada (CAN),2:02.93,
2013,1,29,2,Marina Pospelova, Russia (RUS),2:03.42,
2013,1,30,1,Eglė Balčiūnaitė, Lithuania (LTU),2:08.77,
2013,1,31,4,Elena Mirela Lavric, Romania (ROM),2:10.37,
2013,1,32,3,Elisabeth Mandaba, Central African Republic (CAF),2:14.35,SB
2013,2,1,1,Alysia Montaño, United States (USA),1:58.92,
2013,2,2,1,Brenda Martinez, United States (USA),1:59.03,
2013,2,3,1,Nataliia Lupu, Ukraine (UKR),1:59.43,
2013,2,4,1,Ekaterina Poistogova, Russia (RUS),1:59.48,
2013,2,5,1,Lenka Masná, Czech Republic (CZE),1:59.56,
2013,2,6,1,Halima Hachlaf, Morocco (MAR),2:00.55,
2013,2,7,2,Eunice Jepkoech Sum, Kenya (KEN),2:00.70,
2013,2,8,2,Mariya Savinova, Russia (RUS),2:00.73,
2013,2,9,1,Laura Muir, Great Britain & N.I. (GBR),2:00.83,
2013,2,10,2,Ajee' Wilson, United States (USA),2:00.90,
2013,2,11,2,Rose Mary Almanza, Cuba (CUB),2:00.98,
2013,2,12,1,Winny Chebet, Kenya (KEN),2:01.04,
2013,2,13,2,Maryna Arzamasava, Belarus (BLR),2:01.19,
2013,2,14,2,Elena Kotulskaya, Russia (RUS),2:01.75,
2013,2,15,2,Marilyn Okoro, Great Britain & N.I. (GBR),2:02.26,
2013,2,16,2,Malika Akkaoui, Morocco (MAR),2:02.29,
2013,3,1,1,Eunice Jepkoech Sum, Kenya (KEN),1:57.38,PB
2013,3,3,1,Brenda Martinez, United States (USA),1:57.91,PB
2013,3,4,1,Alysia Montaño, United States (USA),1:57.95,
2013,3,5,1,Ekaterina Poistogova, Russia (RUS),1:58.05,SB
2013,3,6,1,Ajee' Wilson, United States (USA),1:58.21,PB
2013,3,7,1,Nataliia Lupu, Ukraine (UKR),1:59.79,
2013,3,8,1,Lenka Masná, Czech Republic (CZE),2:00.59,
2013,3,n/a,1,Mariya Savinova, Russia (RUS),1:57.80,DSQ (Doping)
